# Generated from FirepadCN/pocket_dict_5000 (MIT), derived from ECDICT (MIT).
# word<TAB>concise Simplified Chinese meaning
a	第一个字母A
created	创造
creates	创造
creating	创造
creation	创造
creations	创造
creative	有创造力的
creatives	有创造力的
creature	人
creatures	人
credit	信用
credited	信用
crediting	信用
credits	信用
crew	全体人员
crewed	全体人员
crewing	全体人员
crews	全体人员
cricket	蟋蟀
crickets	蟋蟀
cried	叫声
cries	叫声
crime	犯罪
crimes	犯罪
criminal	罪犯
criminals	罪犯
crises	危机
crisis	危机
crisp	脆的
crisped	脆的
crisper	脆的
crispest	脆的
crisping	脆的
crisps	脆的
criteria	pl.标准
criterias	pl.标准
criterion	标准
critic	批评家
critical	批评的
criticism	批评
criticisms	批评
criticize	批评
criticized	批评
criticizes	批评
criticizing	批评
critics	批评家
crop	农作物
cropped	农作物
cropping	农作物
crops	农作物
cross	十字架
crossed	十字架
crosses	十字架
crossing	横越
crossings	横越
crossroads	十字路口
crowd	群众
crowded	拥挤的
crowding	群众
crowds	群众
crown	王冠
crowned	王冠
crowning	王冠
crowns	王冠
crucial	决定性的
cruel	残酷的
cruelest	残酷的
crueller	残酷的
cruellest	残酷的
crush	压碎
crushed	压碎
crushes	压碎
crushing	压碎
cry	叫声
crying	叫声
ct	计算机断层扫描
cts	计算机断层扫描
cube	立方体
cubed	立方体
cubes	立方体
cubic	立方体的
cubing	立方体
cuisine	烹调风格
cuisines	烹调风格
cultural	文化的
culture	文化
cultured	文化
cultures	文化
culturing	文化
cup	杯子
cupboard	食橱
cupboards	食橱
cupped	杯子
cupping	杯子
cups	杯子
curb	抑制
curbed	抑制
curbing	抑制
curbs	抑制
cure	治疗
cured	治疗
cures	治疗
curing	治疗
curious	好奇的
curiouser	好奇的
curiously	好奇地
curl	拳曲
curled	拳曲
curlier	拳曲的
curlies	拳曲的
curliest	拳曲的
curling	拳曲
curls	拳曲
curly	拳曲的
currencies	货币
currency	货币
current	涌流
currently	现在
currents	涌流
curricula	课程
curriculum	课程
curriculums	课程
curtain	帐
curtained	帐
curtaining	帐
curtains	帐
curve	曲线
curved	弯曲的
curves	曲线
curving	曲线
cushion	垫子
cushioned	垫子
cushioning	垫子
cushions	垫子
custom	习惯
customer	消费者
customers	消费者
customs	海关
cut	切口
cuts	切口
cutting	切口
cycle	周期
cycled	周期
cycles	周期
cycling	骑脚踏车兜风
cyclist	骑脚踏车的人
cyclists	骑脚踏车的人
dad	爸爸
dads	爸爸
dailies	每日的
daily	每日的
dam	水坝
damage	损害
damaged	损害
damages	损害
damaging	损害
dammed	水坝
damming	水坝
damp	潮湿
damped	潮湿
damper	潮湿
dampest	潮湿
damping	潮湿
damps	潮湿
dams	水坝
dance	跳舞
danced	跳舞
dancer	舞蹈演员
dancers	舞蹈演员
dances	跳舞
dancing	舞蹈
danger	危险
dangerous	危险的
dangers	危险
dare	挑战
dared	挑战
dares	挑战
daring	挑战
dark	黑暗
darker	黑暗
darkest	黑暗
darkness	黑暗
darlington	达林顿
dash	冲撞
dashed	冲撞
dashes	冲撞
dashing	冲撞
data	pl.资料
database	数据库
databases	数据库
date	日期
dated	日期
dates	日期
dating	日期
daughter	女儿
daughters	女儿
david	大卫
dawn	破晓
dawned	破晓
dawning	破晓
dawns	破晓
day	天
daylight	白昼
daylighting	白昼
daylights	白昼
days	天
de	非对映体过量
dead	死的
deadline	最后期限
deadlines	最后期限
deaf	聋的
deafer	聋的
deafest	聋的
deal	交易
dealer	经销商
dealers	经销商
dealing	交易
deals	交易
dealt	交易
dear	亲爱的人
dearer	亲爱的人
dearest	亲爱的人
dears	亲爱的人
death	死亡
deaths	死亡
debate	辩论
debated	辩论
debates	辩论
debating	辩论
debt	债务
debts	债务
dec	美国数字电子公司
decade	十年
decades	十年
decay	衰退
decayed	衰退
decaying	衰退
decays	衰退
december	十二月
decide	决定
decided	决定
decides	决定
deciding	决定
decision	决定
decisions	决定
declare	宣布
declared	宣布
declares	宣布
declaring	宣布
decline	衰退
declined	衰退
declines	衰退
declining	衰退
decorate	装饰
decorated	装饰
decorates	装饰
decorating	装饰
decoration	装饰
decorations	装饰
decorative	装饰性的
decrease	减少
decreased	减少
decreases	减少
decreasing	减少
deed	行为
deeds	行为
deep	深的
deeper	深的
deepest	深的
deeply	深刻地
deeps	深的
deer	鹿
deering	鹿
defeat	败北
defeated	败北
defeating	败北
defeats	败北
defence	防卫
defences	防卫
defend	防护
defendant	被告
defendants	被告
defended	防护
defending	防护
defends	防护
defense	防卫
defenses	防卫
deficit	赤字
deficits	赤字
define	定义
defined	定义
defines	定义
defining	定义
definite	明确的
definitely	明确无疑地
definites	明确的
definition	定义
definitions	定义
degree	程度
degrees	程度
delay	耽搁
delayed	耽搁
delaying	耽搁
delays	耽搁
delete	删除
deleted	删除
deletes	删除
deleting	删除
deliberate	深思熟虑的
deliberated	深思熟虑的
deliberately	故意地
deliberates	深思熟虑的
deliberating	深思熟虑的
delicate	细致优雅的
delicious	美味的
delight	高兴
delighted	高兴的
delighting	高兴
delights	高兴
deliver	递送
delivered	递送
deliveries	递送
delivering	递送
delivers	递送
delivery	递送
demand	要求
demanded	要求
demanding	要求
demands	要求
democracies	民主政治
democracy	民主政治
democrat	民主人士
democratic	民主的
democrats	民主人士
demonstrate	示范
demonstrated	示范
demonstrates	示范
demonstrating	示范
demonstration	示范
demonstrations	示范
denied	否认
denies	否认
dentist	牙科医生
dentists	牙科医生
deny	否认
denying	否认
denys	否认
department	部门
departments	部门
departure	离开
departures	离开
depend	靠
depended	靠
dependent	依赖他人者
dependents	依赖他人者
depending	靠
depends	靠
deposit	存款
deposited	存款
depositing	存款
deposits	存款
depress	使沮丧
depressed	沮丧的
depresses	使沮丧
depressing	抑压的
depression	不景气
depressions	不景气
depth	深度
depths	深度
deputies	副手
deputy	副手
derive	得自
derived	得自
derives	得自
deriving	得自
describe	描述
described	描述
describes	描述
describing	描述
description	描述
descriptions	描述
desert	沙漠
deserted	被遗弃的
deserting	沙漠
deserts	沙漠
deserve	该得到
deserved	该得到
deserves	该得到
deserving	该得到
design	设计
designed	设计
designer	设计者
designers	设计者
designing	设计
designs	设计
desire	欲望
desired	欲望
desires	欲望
desiring	欲望
desk	书桌
desks	书桌
desperate	不顾一切的
desperately	拼命地
despite	轻视
dessert	餐后甜点
desserts	餐后甜点
destination	目的地
destinations	目的地
destroy	破坏
destroyed	破坏
destroying	破坏
destroys	破坏
destruction	破坏
destructions	破坏
detail	细节
detailed	详细的
detailing	细节
details	细节
detect	发现
detected	发现
detecting	发现
detective	侦探
detectives	侦探
detects	发现
determination	决心
determinations	决心
determine	决定
determined	坚决的
determines	决定
determining	决定
develop	发展
developed	发展
developing	发展中的
development	发展
developments	发展
develops	发展
device	装置
devices	装置
devote	投入于
devoted	投入的
devotes	投入于
devoting	投入于
devotion	热爱
devotions	热爱
diagram	图表
diagrammed	图表
diagramming	图表
diagrams	图表
dial	刻度盘
dialed	刻度盘
dialing	刻度盘
dialled	刻度盘
dialogue	对话
dialogues	对话
dials	刻度盘
diamond	钻石
diamonds	钻石
diaries	日记
diary	日记
dictation	听写
dictations	听写
dictionaries	字典
dictionary	字典
did	做
die	死亡
died	死亡
dies	死亡
diet	日常饮食
dieted	日常饮食
dieting	日常饮食
diets	日常饮食
differ	不一致
differed	不一致
difference	不同
differences	不同
different	不同的
differently	差异
differing	不一致
differs	不一致
difficult	困难的
difficulties	困难
difficulty	困难
dig	挖
digest	文摘
digested	文摘
digesting	文摘
digests	文摘
digged	挖
digging	挖
digital	数字显示的
dignities	尊严
dignity	尊严
digs	挖
dilemma	困境
dilemmas	困境
dimension	尺寸
dimensioned	尺寸
dimensioning	尺寸
dimensions	尺寸
dine	用正餐
dined	用正餐
dines	用正餐
dining	用正餐
dinner	晚餐
dinners	晚餐
dinosaur	恐龙
dinosaurs	恐龙
dioxide	二氧化物
dioxides	二氧化物
dip	浸
diploma	文凭
diplomas	文凭
dipped	浸
dipping	浸
dips	浸
direct	直接的
directed	直接的
directing	直接的
direction	方向
directions	方向
directly	径直地
director	主管
directories	目录
directors	主管
directory	目录
directs	直接的
dirt	污垢
dirtied	肮脏的
dirtier	肮脏的
dirties	肮脏的
dirtiest	肮脏的
dirty	肮脏的
dirtying	肮脏的
disabilities	无力
disability	无力
disabled	残废的
disadvantage	缺点
disadvantaged	缺点
disadvantages	缺点
disadvantaging	缺点
disagree	不一致
disagreed	不一致
disagreeing	不一致
disagreement	不合
disagreements	不合
disagrees	不一致
disappear	消失
disappeared	消失
disappearing	消失
disappears	消失
disappoint	使失望
disappointed	失望的
disappointing	使失望的
disappointment	失望
disappointments	失望
disappoints	使失望
disapproval	不赞成
disapprovals	不赞成
disapprove	不赞成
disapproved	不赞成
disapproves	不赞成
disapproving	不满的
disaster	灾祸
disasters	灾祸
disc	圆盘
discipline	训练
disciplined	训练
disciplines	训练
disciplining	训练
discount	折扣
discounted	折扣
discounting	折扣
discounts	折扣
discourage	使气馁
discouraged	使气馁
discourages	使气馁
discouraging	使气馁
discover	发现
discovered	发现
discoveries	发现
discovering	发现
discovers	发现
discovery	发现
discrimination	差别
discriminations	差别
discs	圆盘
discuss	讨论
discussed	讨论
discusses	讨论
discussing	讨论
discussion	讨论
discussions	讨论
disease	疾病
diseases	疾病
disgust	厌恶
disgusted	厌恶的
disgusteds	厌恶的
disgusting	令人厌恶的
disgusts	厌恶
dish	盘子
dished	盘子
dishes	盘子
dishing	盘子
dishonest	不诚实的
dishonestly	不诚实地
disk	圆盘
disks	圆盘
dislike	嫌恶
disliked	嫌恶
dislikes	嫌恶
disliking	嫌恶
dismiss	解散
dismissed	解散
dismisses	解散
dismissing	解散
disobey	违反
disobeyed	违反
disobeying	违反
disobeys	违反
disorder	杂乱
disordered	杂乱
disordering	杂乱
disorders	杂乱
display	显示
displayed	显示
displaying	显示
displays	显示
dispute	争论
disputed	争论
disputes	争论
disputing	争论
dissolve	溶解
dissolved	溶解
dissolves	溶解
dissolving	溶解
distance	距离
distanced	距离
distances	距离
distancing	距离
distant	远的
distinct	清楚的
distinction	区别
distinctions	区别
distinguish	区别
distinguished	区别
distinguishes	区别
distinguishing	区别
distribute	分配
distributed	分配
distributes	分配
distributing	分配
distribution	分配
distributions	分配
district	区域
districted	区域
districting	区域
districts	区域
disturb	扰乱
disturbed	扰乱
disturbing	引起烦恼的
disturbs	扰乱
dive	潜水
dived	潜水
diverse	不同的
diversities	差异
diversity	差异
dives	潜水
divide	分开
divided	分开
divides	分开
dividing	分开
diving	潜水
division	分
divisions	分
divorce	离婚
divorced	离婚的
divorces	离婚
divorcing	离婚
dizzied	晕眩的
dizzier	晕眩的
dizzies	晕眩的
dizzy	晕眩的
dizzying	晕眩的
dna	脱氧核糖核酸
dnas	脱氧核糖核酸
do	做
doctor	医生
doctored	医生
doctoring	医生
doctors	医生
document	文件
documented	文件
documenting	文件
documents	文件
does	做
dog	狗
dogged	狗
dogging	狗
dogs	狗
doing	做
doll	洋娃娃
dollar	美元
dollars	美元
dolled	洋娃娃
dolling	洋娃娃
dolls	洋娃娃
domestic	家庭的
domestics	家庭的
dominate	支配
dominated	支配
dominates	支配
dominating	支配
done	做
door	门
doors	门
dormitories	宿舍
dormitory	宿舍
dot	点
dots	点
dotted	点
dotting	点
double	两倍
doubled	两倍
doubles	两倍
doubling	两倍
doubt	怀疑
doubted	怀疑
doubting	怀疑
doubts	怀疑
down	向下的
downed	向下的
downing	向下的
download	卸载
downloaded	卸载
downloading	卸载
downloads	卸载
downs	向下的
downstairs	楼下
downtown	市中心区
downtowner	市中心区
downward	向下的
downwards	向下
dozen	打
dr	博士
draft	气流
drafted	气流
drafting	气流
drafts	气流
drag	拖
dragged	拖
dragging	拖
drags	拖
drama	戏剧
dramas	戏剧
dramatic	戏剧性的
dramatically	戏剧地
dramatics	戏剧性的
drank	饮料
draw	拉
drawback	缺点
drawbacks	缺点
drawer	抽屉
drawers	抽屉
drawing	图画
drawings	图画
drawn	拉
draws	拉
dream	梦
dreamed	梦
dreaming	梦
dreams	梦
dreamt	梦
dress	服装
dressed	穿好衣服的
dresses	服装
dressing	服装
drew	拉
dried	干的
drier	干燥机
driers	干燥机
dries	干的
driest	干的
drill	钻孔机
drilled	钻孔机
drilling	钻孔机
drills	钻孔机
drink	饮料
drinking	饮料
drinks	饮料
drive	驾车
driven	驾车
driver	驾驶员
drivers	驾驶员
drives	驾车
driving	赶
drop	滴
dropped	滴
dropping	滴
drops	滴
drove	驾车
drown	淹死
drowned	淹死
drowning	淹死
drowns	淹死
drug	药
drugged	药
drugging	药
drugs	药
drugstore	药房
drugstores	药房
drum	鼓
drummed	鼓
drumming	鼓
drums	鼓
drunk	喝醉了的
drunker	喝醉了的
drunks	喝醉了的
dry	干的
drying	干的
duck	鸭子
ducked	鸭子
ducking	鸭子
ducks	鸭子
due	应得的东西
dug	挖
duke	公爵
dukes	公爵
dull	钝的
dulled	钝的
duller	钝的
dullest	钝的
dulling	钝的
dulls	钝的
dump	垃圾场
dumped	垃圾场
dumping	垃圾场
dumpling	面团布丁
dumplings	面团布丁
dumps	垃圾场
during	在...的时候
dusk	薄暮
dusked	薄暮
dusking	薄暮
dusks	薄暮
dust	灰尘
dustbin	垃圾箱
dustbins	垃圾箱
dusted	灰尘
dustier	灰尘多的
dusting	灰尘
dusts	灰尘
dusty	灰尘多的
duties	责任
duty	责任
dvd	abbr.数字化视频光盘
dying	垂死的
dynamic	动态的
dynasties	朝代
dynasty	朝代
each	每个
eager	热心的
eagle	鹰
eagled	鹰
eagles	鹰
eagling	鹰
ear	耳朵
earlier	早的
earliest	早的
early	早的
earn	赚得
earned	赚得
earning	赚得
earnings	所赚的钱
earns	赚得
ears	耳朵
earth	地球
earthed	地球
earthing	地球
earthquake	地震
earthquakes	地震
earths	地球
ease	安乐
eased	安乐
eases	安乐
easier	容易的
easiest	容易的
easily	容易地
easing	安乐
east	东方
easter	复活节
eastern	东方人
easters	复活节
eastwards	向东方地
easy	容易的
eat	吃
eaten	吃
eating	吃
eats	吃
ec	电子计算机
ecologies	生态学
ecology	生态学
economic	经济上的
economies	经济
economy	经济
edge	边缘
edged	边缘
edges	边缘
edging	边缘
edinburgh	爱丁堡
edition	版本
editions	版本
editor	编者
editors	编者
educate	教育
educated	受过教育的
educates	教育
educating	教育
education	教育
educational	教育的
educator	教育家
educators	教育家
edward	爱德华
effect	结果
effected	结果
effecting	结果
effective	有效的
effectively	有效地
effects	结果
efficiencies	效率
efficiency	效率
efficient	有效率的
efficiently	生效
effort	努力
efforts	努力
eg	abbr.[拉]例如
egg	蛋
egged	蛋
egging	蛋
eggplant	茄子
eggplants	茄子
eggs	蛋
egs	abbr.[拉]例如
egyptian	埃及人
egyptians	埃及人
eh	啊!嗯!是吗?好吗?
ehs	啊!嗯!是吗?好吗?
eight	八
eighteen	十八
eighth	第八
eighty	八十
either	或
elbow	手肘
elbowed	手肘
elbowing	手肘
elbows	手肘
elder	年长者
elderly	过了中年的
elders	年长者
elect	当选人
elected	当选人
electing	当选人
election	选举
elections	选举
electric	电的
electrical	电的
electricals	电的
electricity	电
electrics	电的
electronic	电子的
elects	当选人
elegant	优雅的
element	元件
elementary	初步的
elements	元件
elephant	象
elephants	象
elevator	电梯
elevators	电梯
eleven	十一
eliminate	除去
eliminated	除去
eliminates	除去
eliminating	除去
elizabeth	伊丽莎白
else	别的
elsewhere	在别处
email	电子信函
embarrass	使困窘
embarrassed	尴尬的
embarrasses	使困窘
embarrassing	令人为难的
embarrassment	困难
embarrassments	困难
embassies	大使馆
embassy	大使馆
embrace	拥抱
embraced	拥抱
embraces	拥抱
embracing	拥抱
emerge	浮现
emerged	浮现
emergencies	紧急状况
emergency	紧急状况
emerges	浮现
emerging	浮现
emotion	情绪
emotional	情绪的
emotionally	在情绪上
emotions	情绪
emperor	皇帝
emperors	皇帝
emphasis	强调
emphasize	强调
emphasized	强调
emphasizes	强调
emphasizing	强调
empire	帝国
empires	帝国
employ	雇用
employed	雇用
employee	职员
employees	职员
employer	雇主
employers	雇主
employing	雇用
employment	雇用
employments	雇用
employs	雇用
emptied	空的
emptier	空的
empties	空的
emptiest	空的
empty	空的
emptying	空的
enable	使能够
enabled	使能够
enables	使能够
enabling	使能够
encounter	相会
encountered	相会
encountering	相会
encounters	相会
encourage	鼓励
encouraged	鼓励
encouragement	鼓励
encouragements	鼓励
encourages	鼓励
encouraging	鼓励
end	结束
ended	结束
ending	终止
endings	终止
endless	不停的
ends	结束
enemies	敌人
enemy	敌人
energetic	精力充沛的
energetics	精力充沛的
energies	精力
energy	精力
enforcement	执行
enforcements	执行
engage	答应
engaged	忙碌的
engages	答应
engaging	答应
engine	引擎
engined	引擎
engineer	工程师
engineered	工程师
engineering	工程学
engineers	工程师
engines	引擎
england	英格兰
english	英语
enhance	提高
enhanced	提高
enhances	提高
enhancing	提高
enjoy	享受
enjoyable	可从中得到乐趣的
enjoyed	享受
enjoying	享受
enjoyment	享乐
enjoyments	享乐
enjoys	享受
enlarge	扩大
enlarged	扩大
enlarges	扩大
enlarging	扩大
enormous	巨大的
enough	充足
enquiries	询问
enquiry	询问
ensure	确定
ensured	确定
ensures	确定
ensuring	确定
enter	进入
entered	进入
entering	进入
enterprise	企业
enterprises	企业
enters	进入
entertain	娱乐
entertained	娱乐
entertainer	表演娱乐节目的人
entertainers	表演娱乐节目的人
entertaining	使人愉快的
entertainment	娱乐
entertainments	娱乐
entertains	娱乐
enthusiasm	巨大的热情
enthusiasms	巨大的热情
enthusiastic	狂热的
entire	整个
entirely	完全
entitle	给...权利
entitled	给...权利
entitles	给...权利
entitling	给...权利
entrance	入口
entranced	入口
entrances	入口
entrancing	入口
entries	登录
entry	登录
envelope	信封
envelopes	信封
envied	羡慕
envies	羡慕
environment	环境
environmental	周围的
environments	环境
envy	羡慕
envying	羡慕
equal	对手
equaled	对手
equaling	对手
equalities	平等
equality	平等
equalled	对手
equalling	对手
equally	相等地
equals	对手
equation	相等
equations	相等
equip	装备
equipment	装备
equipments	装备
equipped	装备
equipping	装备
equips	装备
equivalent	同等物
equivalents	同等物
er	铒
era	时代
eras	时代
eraser	擦子
erasers	擦子
erm	abbr.ermine貂
error	错误
errors	错误
erupt	爆发
erupted	爆发
erupting	爆发
erupts	爆发
escape	逃亡
escaped	逃亡
escapes	逃亡
escaping	逃亡
especially	尤其
essay	随笔
essayed	随笔
essaying	随笔
essays	随笔
essential	要素
essentially	本质上
essentials	要素
establish	建立
established	建立
establishes	建立
establishing	建立
establishment	确立
establishments	确立
estate	不动产
estates	不动产
estimate	估计
estimated	估计
estimates	估计
estimating	估计
etc	及其他
ethnic	人种的
euro	欧元
europe	欧洲
european	欧洲人
europeans	欧洲人
euros	欧元
evaluate	评估
evaluated	评估
evaluates	评估
evaluating	评估
evaluation	评估
evaluations	评估
even	平坦的
evened	平坦的
evening	傍晚
evenings	傍晚
evens	平坦的
event	事件
events	事件
eventually	最后
ever	曾经
every	每一
everybody	每个人
everyday	每天的
everyone	每个人
everything	每件事物
everywhere	各处
evidence	根据
evidenced	根据
evidences	根据
evidencing	根据
evident	显然的
evil	邪恶
evils	邪恶
evolution	进化
evolutions	进化
exact	精确的
exacted	精确的
exacting	精确的
exactly	确切地
exacts	精确的
exaggerate	夸大
exaggerated	夸大的
exaggerates	夸大
exaggerating	夸大
exam	考试
examination	考试
examinations	考试
examine	检查
examined	检查
examines	检查
examining	检查
example	例子
examples	例子
exams	考试
excellent	优良的
except	除
excepted	除
excepting	除
exception	例外
exceptions	例外
excepts	除
exchange	交换
exchanged	交换
exchanges	交换
exchanging	交换
excite	刺激
excited	兴奋的
excitement	刺激
excitements	刺激
excites	刺激
exciting	令人兴奋的
exclude	除外
excluded	除外
excludes	除外
excluding	把...排除在外
excuse	原谅
excused	原谅
excuses	原谅
excusing	原谅
executive	执行部门
executives	执行部门
exercise	行使
exercised	行使
exercises	行使
exercising	行使
exhibit	显示
exhibited	显示
exhibiting	显示
exhibition	表现
exhibitions	表现
exhibits	显示
exist	存在
existed	存在
existence	存在
existences	存在
existing	存在的
exists	存在
exit	出口
exited	出口
exiting	出口
exits	出口
expand	使膨胀
expanded	使膨胀
expanding	使膨胀
expands	使膨胀
expansion	扩充
expansions	扩充
expect	预期
expectation	期待
expectations	期待
expected	预期的
expecting	预期
expects	预期
expenditure	开支
expenditures	开支
expense	费用
expenses	费用
expensive	贵的
experience	经历
experienced	富有经验的
experiences	经历
experiencing	经历
experiment	实验
experimented	实验
experimenting	实验
experiments	实验
expert	专家
experts	专家
explain	解释
explained	解释
explaining	解释
explains	解释
explanation	解释
explanations	解释
explicit	详述的
explode	爆炸
exploded	爆炸
explodes	爆炸
exploding	爆炸
exploit	功绩
exploited	功绩
exploiting	功绩
exploits	功绩
explore	探险
explored	探险
explorer	探险家
explorers	探险家
explores	探险
exploring	探险
explosion	爆发
explosions	爆发
export	输出品
exported	输出品
exporting	输出品
exports	输出品
expose	使暴露
exposed	使暴露
exposes	使暴露
exposing	使暴露
exposure	暴露
exposures	暴露
express	快车
expressed	快车
expresses	快车
expressing	快车
expression	表达
expressions	表达
extend	扩充
extended	扩充
extending	扩充
extends	扩充
extension	延长
extensions	延长
extensive	广的
extent	范围
extents	范围
external	外部
externals	外部
extra	额外的事物
extraordinaries	非常的
extraordinary	非常的
extras	额外的事物
extreme	极端
extremely	极端地
extremes	极端
extremest	极端
eye	眼睛
eyed	眼睛
eyeing	眼睛
eyes	眼睛
eyesight	视力
eyewitness	目击者
eyewitnesses	目击者
f	故障
face	脸
faced	脸
faces	脸
facial	美颜
facials	美颜
facilities	容易
facility	容易
facing	脸
fact	事实
factor	因素
factored	因素
factories	工厂
factoring	因素
factors	因素
factory	工厂
facts	事实
faculties	才能
faculty	才能
fade	褪色
faded	褪色
fades	褪色
fading	褪色
fail	失败
failed	失败
failing	失败
fails	失败
failure	失败
failures	失败
faint	昏厥
fainted	昏厥
fainter	昏厥
faintest	昏厥
fainting	昏厥
faintly	微弱地
faints	昏厥
fair	展览会
faired	展览会
fairer	展览会
fairest	展览会
fairing	展览会
fairly	美观地
fairness	晴朗
fairs	展览会
faith	信心
faithful	忠实的
faithfully	忠实地
faithfuls	忠实的
faiths	信心
fall	落下
fallen	落下
falling	落下
falls	落下
false	错误的
fame	名望
familiar	熟悉的
familiars	熟悉的
families	家庭
family	家庭
famous	出名的
fan	风扇
fancied	想象力
fancier	想象力
fancies	想象力
fancy	想象力
fancying	想象力
fanned	风扇
fanning	风扇
fans	风扇
fantasied	幻想
fantasies	幻想
fantastic	奇妙的
fantasy	幻想
fantasying	幻想
far	远的
fare	费用
fared	费用
fares	费用
faring	费用
farm	农场
farmed	农场
farmer	农夫
farmers	农夫
farming	农业
farms	农场
farther	更远的
fashion	流行
fashionable	时髦的
fashionables	时髦的
fashioned	流行
fashioning	流行
fashions	流行
fast	快速的
fasted	快速的
fasten	拴紧
fastened	拴紧
fastening	拴紧
fastens	拴紧
faster	快速的
fastest	快速的
fasting	快速的
fasts	快速的
fat	脂肪
father	父亲
fathered	父亲
fathering	父亲
fathers	父亲
fats	脂肪
fatted	脂肪
fatter	脂肪
fattest	脂肪
fatting	脂肪
faucet	龙头
faucets	龙头
fault	过错
faulted	过错
faulting	过错
faults	过错
favor	好意
favored	好意
favoring	好意
favorite	喜欢的事物
favorites	喜欢的事物
favors	好意
favour	好感
favoured	好感
favouring	好感
favourite	喜欢的事物
favourites	喜欢的事物
favours	好感
fax	传真
faxed	传真
faxes	传真
faxing	传真
fear	恐怖
feared	恐怖
fearing	恐怖
fears	恐怖
feast	宴会
feasted	宴会
feasting	宴会
feasts	宴会
feather	羽毛
feathered	羽毛
feathering	羽毛
feathers	羽毛
feature	面孔的一部分
featured	面孔的一部分
features	面孔的一部分
featuring	面孔的一部分
february	二月
fed	饲料
federal	联邦的
fee	费用
feed	饲料
feeding	饲料
feeds	饲料
feeing	饲料
feel	感觉
feeling	摸
feelings	摸
feels	感觉
fees	费用
feet	脚
fell	落下
fellow	男人
fellows	男人
felt	感觉
female	女性
females	女性
fence	围墙
fenced	围墙
fences	围墙
fencing	围墙
ferried	渡船
ferries	渡船
ferry	渡船
ferrying	渡船
festival	节日的
festivals	节日的
fetch	取得
fetched	取得
fetches	取得
fetching	取得
fever	发烧
fevered	发烧
fevers	发烧
few	很少的
fewer	较少的
fiber	纤维
fibers	纤维
fibre	纤维
fibres	纤维
fiction	小说
fictions	小说
field	领域
fielded	领域
fielding	领域
fields	领域
fierce	凶猛的
fiercer	凶猛的
fiercest	凶猛的
fifteen	十五
fifth	第五
fifty	五十
fig	无花果
figging	无花果
fight	打架
fighter	斗士
fighters	斗士
fighting	战斗的
fights	打架
figs	无花果
figure	数字
figured	数字
figures	数字
figuring	数字
file	档案
filed	档案
files	档案
filing	档案
fill	装满
filled	装满
filling	装满
fills	装满
film	软片
filmed	软片
filming	软片
films	软片
final	期末考试
finally	最后
finals	期末考试
finance	财政
financed	财政
finances	财政
financial	财政的
financing	财政
find	发现
finding	发现
findings	发现
finds	发现
fine	罚款
fined	罚款
finely	雅致地
finer	罚款
fines	罚款
finest	罚款
finger	手指
fingered	手指
fingering	手指
fingernail	手指甲
fingernails	手指甲
fingers	手指
fining	罚款
finish	完成
finished	完成的
finishes	完成
finishing	完成
fire	火
fired	火
firefighter	<美>消防队员
firefighters	<美>消防队员
fireplace	壁炉
fireplaces	壁炉
fires	火
firewood	木柴
firework	烟火具
fireworks	烟火具
firing	火
firm	公司
firmed	公司
firmer	公司
firming	公司
firmly	坚固
firms	公司
first	首先
fish	鱼
fished	鱼
fisherman	渔夫
fishermen	渔夫
fishes	鱼
fishing	钓鱼
fishings	钓鱼
fist	拳头
fisting	拳头
fists	拳头
fit	适宜
fits	适宜
fitted	适宜
fitter	适宜
fittest	适宜
fitting	适宜
five	五
fix	使固定
fixed	固定的
fixes	使固定
fixing	使固定
flag	标志
flagged	标志
flagging	标志
flags	标志
flame	火焰
flamed	火焰
flames	火焰
flaming	燃烧的
flash	闪光
flashed	闪光
flasher	闪光
flashes	闪光
flashing	闪光
flashlight	手电筒
flashlights	手电筒
flat	平坦的
flats	平坦的
flatter	平坦的
flavour	味
flavoured	味
flavouring	味
flavours	味
fled	逃避
flee	逃避
fleeing	逃避
flees	逃避
flesh	肉
fleshed	肉
fleshes	肉
fleshing	肉
flew	苍蝇
flexible	易曲的
flies	苍蝇
flight	飞行
flighted	飞行
flighting	飞行
flights	飞行
float	漂流物
floated	漂流物
floating	漂流物
floats	漂流物
flood	洪水
flooded	洪水
flooding	洪水
floods	洪水
floor	地板
floored	地板
flooring	地板
floors	地板
flour	面粉
floured	面粉
flouring	面粉
flours	面粉
flow	流程
flowed	流程
flower	花
flowered	花
flowering	花
flowers	花
flowing	流程
flown	苍蝇
flows	流程
flu	流感
fluency	流畅
fluent	流利的
fly	苍蝇
flying	飞的
foci	焦点
focus	焦点
focused	焦点
focuses	焦点
focusing	焦点
focussed	焦点
focussing	焦点
fog	雾
fogged	雾
foggier	雾深的
foggiest	雾深的
fogging	雾
foggy	雾深的
fogs	雾
fold	折层
folded	折层
folding	可折叠的
foldings	可折叠的
folds	折层
folk	人们
folks	人们
follow	跟随
followed	跟随
following	下列各项
followings	下列各项
follows	跟随
fond	喜欢的
fonder	喜欢的
fondest	喜欢的
fonds	喜欢的
food	食物
foods	食物
fool	愚人
fooled	愚人
fooling	愚人
foolish	愚蠢的
fools	愚人
foot	脚
football	足球
footballs	足球
footed	脚
footing	脚
foots	脚
for	为
forbade	禁止
forbid	禁止
forbidden	禁止
forbidding	禁止
forbids	禁止
force	力量
forced	力量
forces	力量
forcing	力量
forecast	预想
forecasted	预想
forecasting	预想
forecasts	预想
forehead	额
foreheads	额
foreign	外国的
